Run No. Sample  C.  Exc. TypExc. PoweSurf. DiExp. Typ Buffer NaCl MgCl2 Glyc.476 nm  TX  MV PCD  PCA  Prep Dilutio CO2  Sonic DuratioAve. D/A
  000  FRNA DA 200nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min47 mins190k/395
  001  FRNA DA 200nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min84 mins440k/833
  002   FRNA D 200nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min82 mins378k/668
  003  RRNA DA 50nM  514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min80 mins???k/???
  004   RRNA D 50nM  514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 78 mins384k/631
  005   Buffer 200nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min48 mins156k/380
  006  FRNA DA 200nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 81 mins475k/961
